pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist,pl_eqt,st_teff,sy_snum
Kepler-186 f,2014.0,Transit,,,129.9533307,177.594,,3876,1
Kepler-1860 b,2021.0,Transit,0.0,0.0, Petigura 2018</a>,+50d04m51.47s,0.0, Petigura 2018</a>,1
Kepler-1861 b,2021.0,Transit,0.0,0.0, Petigura 2018</a>,+49d56m10.17s,0.0, Petigura 2018</a>,1
Kepler-1862 b,2021.0,Transit,,,16.0573291,1232.19,,5391,1
Kepler-1863 b,2021.0,Transit,1.48,,44.9977478,865.546,590.0,6112,1
Kepler-1864 b,2021.0,Transit,0.61,,3.881501,298.894,1194.0,5900,1
Kepler-1865 b,2021.0,Transit,1.56,,2.524018115,922.255,1203.0,5420,1
Kepler-1866 b,2021.0,Transit,1.68,,11.6601366,976.737,840.0,6089,1
Kepler-1867 b,2021.0,Transit,1.15985997,,9.887359619,680.583,,5693,1
Kepler-1868 b,2021.0,Transit,3.69,,211.0338741,274.18,212.0,4628,1
Kepler-1869 b,2021.0,Transit,,,8.16734776,113.025,,5770,1
Kepler-1869 c,2023.0,Transit,1.57,,1.716831717,113.025,2124.0,5895,1
Kepler-187 b,2014.0,Transit,1.41,,4.938864,1143,,6105,1
Kepler-187 c,2014.0,Transit,,, et al. 2019</a>,44.0892448,,,1
Kepler-1870 b,2021.0,Transit,0.0,0.0, Petigura 2018</a>,+40d35m26.53s,0.0, Petigura 2018</a>,1
Kepler-1871 b,2021.0,Transit,2.42172881,,1.952700019,854.623,,5741,1
Kepler-1872 b,2021.0,Transit,,,3.8259005,840.182,,4897,1
Kepler-1873 b,2021.0,Transit,1.62573811,,0.558842003,820.957,,5151,1
Kepler-1874 b,2021.0,Transit,2.19,,56.5735997,408.007,317.0,4514,1
Kepler-1875 b,2021.0,Transit,,,34.4585495,1660.45,,6100,1
Kepler-1876 b,2021.0,Transit,0.0,0.0, Petigura 2018</a>,+41d08m37.67s,0.0, Petigura 2018</a>,1
